"uid","NOPD_Item","Type_","TypeText","Priority","TimeCreate","BLOCK_ADDRESS","Zip","Location","DV_related","Location_new","lat","long"
3463418,"G0934118","103D","DOMESTIC DISTURBANCE","2C","07/08/2018 11:18:46 AM","Cbrunswick Ct & Woodland Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3467136,"I1800118","35D","SIMPLE BATTERY DOMESTIC","2C","09/15/2018 03:28:27 AM","030XX Tulane Ave",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3477080,"G1757118","103D","DOMESTIC DISTURBANCE","1A","07/14/2018 05:04:03 PM","Saint Louis St & Basin St",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3483066,"G2032918","103D","DOMESTIC DISTURBANCE","2C","07/17/2018 01:24:15 AM","061XX Tullis Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3490501,"J4061018","103D","DOMESTIC DISTURBANCE","1A","10/31/2018 11:44:55 PM","068XX Parc Brittany Blvd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3505889,"H1728218","103D","DOMESTIC DISTURBANCE","2C","08/14/2018 12:08:54 PM","123XX N I-10 Service Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3507913,"H1849818","103D","DOMESTIC DISTURBANCE","1A","08/15/2018 08:39:22 AM","037XX Garden Oaks Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3539655,"H3722618","35D","SIMPLE BATTERY DOMESTIC","2C","08/29/2018 12:28:30 PM","147XX Chef Menteur Hwy",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3549260,"K0559818","103D","DOMESTIC DISTURBANCE","2C","11/05/2018 10:34:30 AM","N Galvez St & A P Tureaud Ave",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3549995,"I0335118","103D","DOMESTIC DISTURBANCE","2C","09/03/2018 09:12:20 PM","072XX Chef Menteur Hwy",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3564162,"J0128018","103D","DOMESTIC DISTURBANCE","2C","10/01/2018 10:25:55 PM","070XX Lawrence Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3580327,"J1244618","103D","DOMESTIC DISTURBANCE","2C","10/10/2018 04:50:19 PM","Hayne Blvd & Downman Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3598338,"K1949418","103D","DOMESTIC DISTURBANCE","1A","11/14/2018 11:31:40 PM","034XX Garden Oaks Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3598363,"K1743718","35D","SIMPLE BATTERY DOMESTIC","2C","11/13/2018 01:02:19 PM","120XX N I-10 Service Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3602658,"J2693218","35D","SIMPLE BATTERY DOMESTIC","2C","10/22/2018 12:53:28 AM","019XX Sofie Wright",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3608783,"K2269618","35D","SIMPLE BATTERY DOMESTIC","2C","11/17/2018 01:56:29 AM","045XX Magnolia",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3611967,"J3358318","35D","SIMPLE BATTERY DOMESTIC","2C","10/27/2018 08:13:00 AM","033XX Pleasure St",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3612869,"K2488118","37D","AGGRAVATED ASSAULT DOMESTIC","2C","11/18/2018 11:04:39 PM","070XX Lake Kenilworth Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3615709,"K2605518","103D","DOMESTIC DISTURBANCE","1A","11/19/2018 10:39:14 PM","061XX Tullis Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3617686,"K2745818","37D","AGGRAVATED ASSAULT DOMESTIC","2C","11/21/2018 12:38:21 AM","002XX Magazine St",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3622173,"K3318918","37D","AGGRAVATED ASSAULT DOMESTIC","2C","11/25/2018 02:09:55 PM","051XX Bundy Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3622550,"K3341618","103D","DOMESTIC DISTURBANCE","1A","11/25/2018 06:09:34 PM","121XX N I-10 Service Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3626873,"J1424518","35D","SIMPLE BATTERY DOMESTIC","2C","10/12/2018 12:08:56 AM","008XX Toulouse",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3630466,"L0096418","35D","SIMPLE BATTERY DOMESTIC","2C","12/01/2018 07:58:23 PM","Oc Haley & Calliope",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3632641,"L0235918","103D","DOMESTIC DISTURBANCE","2C","12/03/2018 01:32:07 AM","003XX Lakeshore Blvd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3633839,"L0472118","103D","DOMESTIC DISTURBANCE","2C","12/04/2018 05:48:09 PM","085XX N I-10 Service Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3643284,"L1426518","103D","DOMESTIC DISTURBANCE","2C","12/11/2018 07:58:42 PM","055XX Tullis Dr",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3647845,"L1860618","35D","SIMPLE BATTERY DOMESTIC","1A","12/14/2018 10:01:36 PM","048XX America",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3653614,"L2635518","103D","DOMESTIC DISTURBANCE","1A","12/20/2018 05:10:32 PM","034XX Garden Oaks",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3674674,"F2738919","35D","SIMPLE BATTERY DOMESTIC","2C","6/20/2019 21:25","020XX Cypress Acres Dr40","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3679951,"E1008419","103D","DOMESTIC DISTURBANCE","2C","5/7/2019 19:58","017XX Baronne St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3689115,"E1124419","35D","SIMPLE BATTERY DOMESTIC","2C","5/8/2019 15:35","002XX Baronne St","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3689621,"E3925619","103D","DOMESTIC DISTURBANCE","2C","5/28/2019 0:16","070XX Crowder Blvd","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3710840,"E4107519","35D","SIMPLE BATTERY DOMESTIC","2C","5/29/2019 5:59","035XX Blk Garden Oaks Dr","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3727331,"E1722719","35D","SIMPLE BATTERY DOMESTIC","2C","5/12/2019 19:03","123XX N I-10 Service Rd","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3745916,"F1519319","103D","DOMESTIC DISTURBANCE","1A","6/11/2019 21:33","123XX N I-10 Service Rd","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3782332,"F0881119","56D","CRIMINAL DAMAGE DOMESTIC","2C","6/7/2019 8:14","123XX N I-10 Service Rd","None","(0.0, 0.0)",1,"0.0, 0.0",0,0
3796072,"A0071019","35D","SIMPLE BATTERY DOMESTIC","1A","1/1/2019 11:38","022XX Blk Dumaine St","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3801748,"A1828719","103D","DOMESTIC DISTURBANCE","2C","1/14/2019 19:05","147XX Chef Menteur Hwy","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3813052,"A3080519","35D","SIMPLE BATTERY DOMESTIC","2C","1/24/2019 3:25","No 078XX Oleander St","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3844721,"C3213919","103D","DOMESTIC DISTURBANCE","2C","3/24/2019 14:34","035XX Garden Oaks Dr","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3870576,"C0418619","103D","DOMESTIC DISTURBANCE","2C","3/3/2019 17:53","Bar & Comm","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3883144,"C1996519","103D","DOMESTIC DISTURBANCE","2C","3/15/2019 10:38","6th Dist","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3883680,"B3435719","35D","SIMPLE BATTERY DOMESTIC","2C","2/26/2019 17:14","034XX S Roman St","","(0.0, 0.0)",1,"0.0, 0.0",0,0
3887537,"C3656519","35D","SIMPLE BATTERY DOMESTIC","2C","3/27/2019 17:36","025XX St Clau","","(0.0, 0.0)",1,"0.0, 0.0",0,0
