uid,BLOCK_ADDRESS,Location,Person,Zip
1533388,Perrault Wlk & Hammond St,"(30.02267171, -89.97181112)",Grace,
1534286,067XX Tara Ln,"(30.03000394, -89.9857424)",Grace,
1534639,043XX N Prieur St,"(29.9728284, -90.02964997)",Grace,
1535038,035XX Coliseum St,"(29.92100887, -90.10046672)",Grace,
1537712,123XX N I-10 Service Rd,"(30.04973218, -89.95670651)",Grace,
1537806,012XX Southlawn Blvd,"(29.94323345, -90.02479437)",Grace,
1539142,076XX Lehigh St,"(30.04798358, -89.97497748)",Grace,
1541816,046XX N Claiborne Ave,"(29.96912622, -90.02576394)",Grace,
1544053,050XX Wilton Dr,"(29.90412532, -89.99166986)",Grace,
1545156,024XX Freret St,"(29.93995135, -90.08897822)",Grace,
1545397,023XX A P Tureaud Ave,"(29.98078238, -90.06706186)",Grace,
1546149,074XX Burke Rd,"(30.03946118, -89.9905465)",Grace,
1546580,028XX Florida Ave,"(29.98532665, -90.04696854)",Grace,
1548940,022XX Deslonde St,"(29.97452565, -90.0201581)",Grace,
1549351,045XX Macarthur Blvd,"(29.92375781, -90.00923799)",Grace,
1551083,033XX General Taylor St,"(29.94413877, -90.10068836)",Grace,
1555189,Wall Blvd & General De Gaulle Dr,"(29.92868481, -90.03108717)",Grace,
1561816,028XX Florida Ave,"(29.98532665, -90.04696854)",Grace,
1568337,069XX Lake Kenilworth Dr,"(29.92413669, -90.02262563)",Grace,
1569728,012XX N Johnson St,"(29.97040558, -90.07328463)",Grace,
1571692,078XX Se,"(29.95648408, -90.08504628)",Grace,
1573643,033XX S Carrollton,"(29.91794306, -90.12737295)",Grace,
1575817,056XX W Forest Isle Dr,"(29.90177214, -89.99438497)",Grace,
1577588,018XX Saint Ann St,"(29.96605962, -90.07439053)",Grace,
1578805,002XX S Cortez St,"(29.97158387, -90.0984483)",Grace,
1583070,037XX Garden Oaks Dr,"(29.91832774, -90.02261178)",Grace,
1586081,023XX A P Tureaud Ave,"(29.98025183, -90.06702456)",Grace,
1587188,I-610 E & I-10 E,"(29.99558558, -90.04602219)",Grace,
1587843,051XX Bundy Rd,"(30.02554328, -89.97999844)",Grace,
1589125,041XX Maple Leaf Dr,"(29.92978433, -90.01941617)",Grace,
1590378,003XX Canal St,"(29.95085975, -90.06509569)",Grace,
1593819,019XX E Homestead Dr,"(29.9366112, -90.01908136)",Grace,
1594759,078XX S Coronet Ct,"(30.02572431, -89.99850027)",Grace,
1600357,Read Blvd & N I-10 Service Rd,"(30.03832433, -89.97686905)",Grace,
1608238,025XX N Tonti St,"(29.98131996, -90.0501366)",Grace,
1617552,Esplanade Ave & Decatur St,"(29.9620185, -90.05807064)",Grace,
1618002,070XX Bundy Rd,"(29.97077709, -90.08329186)",Grace,
1622399,022XX Jefferson Ave,"(29.93476069, -90.11170603)",Grace,
1638625,Earhart Blvd & S Carrollton Ave,"(29.96119106, -90.11498136)",Grace,
1639539,042XX Maple Leaf Dr,"(29.90826259, -89.9928495)",Grace,
1644638,026XX Poydras St,"(29.95824845, -90.09140355)",Grace,
1657308,016XX Robert E Lee Blvd,"(30.02106817, -90.07511775)",Grace,
1658370,027XX Hollygrove St,"(29.96464009, -90.12536072)",Grace,
1666541,063XX Woodland Hwy,"(29.90824777, -89.98774011)",Grace,
1667638,075XX Jonlee Dr,"(30.06004055, -89.95317394)",Grace,
1669148,018XX Painters,"(29.96351527, -90.03589135)",Grace,
1669608,030XX Iberville St,"(29.96913591, -90.09002659)",Grace,
1670018,007XX N Miro St,"(29.96749996, -90.07900564)",Grace,
1671187,144XX Dwyer Blvd,"(30.04169124, -89.91294069)",Grace,
1671201,012XX Saint Bernard Ave,"(29.96815528, -90.06310326)",Grace,
1671293,XX Westpark Ct,"(29.92812786, -90.02293804)",Grace,
1673476,016XX Governor Nicholls St,"(29.9681594, -90.06944445)",Grace,
1674801,034XX Timber Wolf Ln,"(29.89929227, -89.99605258)",Grace,
1675725,068XX Parc Brittany Blvd,"(30.02743072, -89.99996499)",Grace,
1676720,043XX Tulane Ave,"(29.97009529, -90.10871787)",Grace,
